epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,638.247,1.00043,3.97089,1.40702,0.00171,0.77778,0.02352,0.01939,0.77056,59.468,1.40966,0.000400602,0.000400602,0.000400602
18,675.674,0.89681,3.65529,1.34843,0.78197,0.11111,0.01888,0.01578,0.725,64.6755,1.40365,0.000395889,0.000395889,0.000395889
19,713.407,1.09897,3.66001,1.56559,0.2244,0.11111,0.02638,0.02206,0.82296,62.674,1.48638,0.000391177,0.000391177,0.000391177
20,751.323,0.81984,3.27011,1.32727,0.00123,0.88889,0.06086,0.05051,0.72414,60.4652,1.35396,0.000386464,0.000386464,0.000386464
21,789.003,0.80708,3.00946,1.261,0.00113,0.88889,0.03886,0.02984,0.74206,60.0434,1.32656,0.000381752,0.000381752,0.000381752
22,826.635,0.65174,4.05494,1.01774,0.00102,0.88889,0.0308,0.0244,0.75267,66.904,1.35042,0.00037704,0.00037704,0.00037704
23,865.344,0.76813,3.05094,1.27895,0.00097,0.88889,0.01623,0.01378,0.72846,71.6324,1.29339,0.000372327,0.000372327,0.000372327
24,902.764,0.66084,4.17526,1.01992,0.00277,0.66667,0.01134,0.00908,0.64593,72.5361,1.19145,0.000367615,0.000367615,0.000367615
25,940.291,0.77055,3.0357,1.24334,0.00107,0.88889,0.00938,0.00717,0.63124,67.684,1.20254,0.000362902,0.000362902,0.000362902
26,977.167,0.79507,3.13226,1.26857,0.0012,0.88889,0.00764,0.00496,0.64597,64.3278,1.20772,0.00035819,0.00035819,0.00035819
27,1014.13,0.80432,3.38547,1.35592,0.00101,0.77778,0.00716,0.00473,0.6467,63.7129,1.23222,0.000353478,0.000353478,0.000353478
28,1051.38,0.68723,2.98844,1.19967,0.00091,0.77778,0.00724,0.00452,0.73676,63.8422,1.33536,0.000348765,0.000348765,0.000348765
29,1088.41,0.60699,3.19528,1.09983,0.00076,0.66667,0.00747,0.00441,0.84028,62.6326,1.49387,0.000344053,0.000344053,0.000344053
30,1125.59,0.81873,3.17541,1.23099,0.0008,0.77778,0.01013,0.00576,0.80239,70.2832,1.52405,0.00033934,0.00033934,0.00033934
31,1162.42,0.81709,3.04213,1.27255,0.00078,0.77778,0.00994,0.00624,0.84658,77.76,1.51575,0.000334628,0.000334628,0.000334628
32,1199.45,0.97448,2.97829,1.50438,0.00078,0.77778,0.00837,0.0056,0.77135,97.5121,1.40765,0.000329916,0.000329916,0.000329916
33,1236.75,0.61678,3.38222,0.96575,0.00083,0.77778,0.00752,0.00498,0.74316,111.389,1.36657,0.000325203,0.000325203,0.000325203
34,1274.11,0.58942,3.70149,0.99073,0.0008,0.77778,0.00972,0.00675,0.79772,123.737,1.42381,0.000320491,0.000320491,0.000320491
35,1310.88,0.7391,2.59095,1.21228,0.00083,0.77778,0.01129,0.00843,0.73475,100.312,1.39706,0.000315778,0.000315778,0.000315778
36,1347.79,0.63563,3.63658,1.02948,0.00091,0.77778,0.0179,0.01457,0.68856,76.0014,1.2654,0.000311066,0.000311066,0.000311066
37,1384.1,0.66143,3.54925,0.98436,0.00095,0.77778,0.01944,0.01624,0.6995,69.5827,1.31868,0.000306354,0.000306354,0.000306354
38,1420.14,0.80825,2.84459,1.31054,0.00422,0.16667,0.01739,0.01426,0.71426,63.8821,1.22705,0.000301641,0.000301641,0.000301641
39,1456.87,0.55547,3.39697,0.98108,0.00074,0.72222,0.01541,0.01232,0.72552,66.0611,1.24107,0.000296929,0.000296929,0.000296929
40,3420.69,0.86787,2.60226,1.31465,0.00078,0.77778,0.01303,0.00979,0.81214,73.1417,1.35359,0.000292216,0.000292216,0.000292216
41,3457.77,0.89008,2.65162,1.32481,0.00081,0.77778,0.01094,0.00747,0.86243,74.9803,1.45245,0.000287504,0.000287504,0.000287504
42,3493.53,0.75409,2.42397,1.21563,0.00087,0.11111,0.01153,0.00687,0.86783,73.9468,1.57821,0.000282792,0.000282792,0.000282792
