epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2812.31,0.66428,2.03295,1.13195,0.27554,0.32868,0.32109,0.30057,0.40861,52.3968,0.88278,0.00018299,0.00018299,0.00018299
55,2864.25,0.70699,1.99996,1.14823,0.27581,0.31579,0.30618,0.29006,0.4075,49.5243,0.88027,0.000179179,0.000179179,0.000179179
56,2915.71,0.68569,2.0939,1.15384,0.25467,0.33145,0.27768,0.25802,0.41309,44.6974,0.87546,0.000175367,0.000175367,0.000175367
57,2967.64,0.69109,2.10643,1.16298,0.25147,0.33584,0.23521,0.22371,0.40796,43.3947,0.87467,0.000171556,0.000171556,0.000171556
58,3019.16,0.67067,2.03487,1.14439,0.23713,0.37552,0.23339,0.21875,0.40144,45.7303,0.87537,0.000167745,0.000167745,0.000167745
59,3070.84,0.61972,1.90821,1.08774,0.2276,0.36545,0.21853,0.20847,0.40841,46.4449,0.87903,0.000163933,0.000163933,0.000163933
60,3122.52,0.68694,2.04561,1.15547,0.21006,0.36842,0.23351,0.22107,0.39475,45.8529,0.87125,0.000160122,0.000160122,0.000160122
61,3174.8,0.68317,2.00123,1.1452,0.26575,0.36842,0.27667,0.26216,0.38954,44.6478,0.8583,0.00015631,0.00015631,0.00015631
62,3226.53,0.65573,2.06578,1.16002,0.26207,0.36842,0.23787,0.2291,0.38189,45.1643,0.83901,0.000152498,0.000152498,0.000152498
63,3278.58,0.64022,1.96316,1.10148,0.27407,0.36842,0.24301,0.23344,0.37261,44.6684,0.82637,0.000148687,0.000148687,0.000148687
64,3330.19,0.68345,2.00039,1.14832,0.25985,0.31579,0.26819,0.25375,0.37457,46.7026,0.8362,0.000144875,0.000144875,0.000144875
65,3382.21,0.64215,1.95287,1.13043,0.24539,0.36842,0.26731,0.2531,0.38466,46.9052,0.85154,0.000141064,0.000141064,0.000141064
66,3433.72,0.65636,1.91995,1.15654,0.24856,0.31579,0.26639,0.25544,0.37669,45.8588,0.84479,0.000137252,0.000137252,0.000137252
67,3485.09,0.64148,1.98725,1.14991,0.24684,0.31579,0.27605,0.25637,0.39329,46.5433,0.85436,0.000133441,0.000133441,0.000133441
68,3536.68,0.63579,1.92078,1.12692,0.2544,0.31579,0.28113,0.26212,0.41599,46.5975,0.87057,0.000129629,0.000129629,0.000129629
69,7369.56,0.66363,1.9815,1.14357,0.26131,0.31579,0.28339,0.26747,0.40861,47.7134,0.8718,0.000125818,0.000125818,0.000125818
70,7419.62,0.63068,1.86642,1.12912,0.2743,0.36842,0.24976,0.241,0.39451,49.6797,0.86671,0.000122007,0.000122007,0.000122007
71,7469.83,0.66505,1.79106,1.12114,0.27187,0.36842,0.25143,0.24251,0.39355,49.1114,0.86461,0.000118195,0.000118195,0.000118195
72,7519.96,0.61211,1.90198,1.11241,0.27199,0.36407,0.24302,0.23031,0.38294,48.2813,0.85464,0.000114384,0.000114384,0.000114384
73,7570.57,0.5969,1.81224,1.05984,0.26937,0.36551,0.26261,0.24729,0.36753,47.2145,0.83888,0.000110572,0.000110572,0.000110572
74,7620.73,0.59573,1.74992,1.09436,0.27311,0.33391,0.27251,0.2562,0.36946,46.077,0.83824,0.000106761,0.000106761,0.000106761
75,7670.29,0.61787,1.84788,1.1089,0.28514,0.309,0.25945,0.24713,0.37354,45.0334,0.84081,0.000102949,0.000102949,0.000102949
76,7720.18,0.60705,1.89269,1.09715,0.25081,0.38565,0.26491,0.25448,0.37795,44.3309,0.84537,9.91375e-05,9.91375e-05,9.91375e-05
77,7770.48,0.61902,1.77424,1.10463,0.20852,0.37858,0.26637,0.25792,0.37854,44.4338,0.84773,9.5326e-05,9.5326e-05,9.5326e-05
78,7821.09,0.58667,1.80045,1.10372,0.28144,0.36273,0.27654,0.26559,0.37242,44.772,0.84135,9.15145e-05,9.15145e-05,9.15145e-05
79,7871.39,0.60324,1.70722,1.09027,0.30083,0.3573,0.2634,0.25428,0.35877,44.3893,0.83271,8.7703e-05,8.7703e-05,8.7703e-05
80,7921.42,0.63316,1.72128,1.08842,0.29583,0.35964,0.26261,0.25358,0.35605,43.2556,0.83191,8.38915e-05,8.38915e-05,8.38915e-05
81,7974.6,0.60651,1.78412,1.10387,0.27723,0.36842,0.26321,0.25624,0.35332,43.0596,0.82788,8.008e-05,8.008e-05,8.008e-05
82,8025.62,0.59211,1.72479,1.08805,0.27471,0.36842,0.24883,0.24304,0.35062,43.2294,0.83231,7.62685e-05,7.62685e-05,7.62685e-05
83,8076.42,0.56435,1.65144,1.08162,0.28701,0.36842,0.25032,0.24603,0.34407,43.8144,0.82925,7.2457e-05,7.2457e-05,7.2457e-05
84,8127.53,0.58471,1.75095,1.04821,0.29134,0.36007,0.23474,0.23075,0.35252,44.4663,0.82329,6.86455e-05,6.86455e-05,6.86455e-05
85,8178.64,0.55196,1.67768,1.06752,0.28584,0.35801,0.235,0.22902,0.3515,44.1959,0.81573,6.4834e-05,6.4834e-05,6.4834e-05
86,8229.58,0.58752,1.58444,1.06507,0.28179,0.35564,0.27445,0.26921,0.34854,43.8055,0.80629,6.10225e-05,6.10225e-05,6.10225e-05
87,8280.28,0.5878,1.66182,1.06389,0.27686,0.35811,0.24847,0.2437,0.34544,43.3564,0.80361,5.7211e-05,5.7211e-05,5.7211e-05
88,8331.09,0.54966,1.68037,1.06942,0.27807,0.36493,0.25113,0.24823,0.34423,42.5796,0.8072,5.33995e-05,5.33995e-05,5.33995e-05
89,8381.93,0.53542,1.58616,1.05897,0.22604,0.36801,0.24996,0.24689,0.342,41.8747,0.80799,4.9588e-05,4.9588e-05,4.9588e-05
90,8433.03,0.60782,1.70486,1.07859,0.22153,0.38597,0.25484,0.25051,0.34536,41.6341,0.80863,4.57765e-05,4.57765e-05,4.57765e-05
91,8483.74,0.50172,2.28738,1.1019,0.24765,0.38948,0.23193,0.22779,0.34627,42.1864,0.80929,4.1965e-05,4.1965e-05,4.1965e-05
92,8534.44,0.49506,2.08827,1.07355,0.2303,0.39474,0.22901,0.2257,0.35607,41.2174,0.8215,3.81535e-05,3.81535e-05,3.81535e-05
93,8585.91,0.47641,2.09741,1.04298,0.28193,0.39326,0.21442,0.2113,0.36664,40.598,0.83397,3.4342e-05,3.4342e-05,3.4342e-05
94,8637.17,0.49701,2.26816,1.08602,0.28044,0.38539,0.23416,0.2313,0.37701,40.498,0.84111,3.05305e-05,3.05305e-05,3.05305e-05
95,8688.49,0.46549,2.11446,1.02915,0.2812,0.37906,0.23366,0.23093,0.3766,41.1559,0.84178,2.6719e-05,2.6719e-05,2.6719e-05
96,8738.38,0.4341,1.99586,1.01159,0.28299,0.37672,0.24453,0.24194,0.36813,42.896,0.83624,2.29075e-05,2.29075e-05,2.29075e-05
97,8788.16,0.44218,1.94795,1.05073,0.28442,0.37655,0.24657,0.24396,0.36233,44.1784,0.83052,1.9096e-05,1.9096e-05,1.9096e-05
98,8838.81,0.44477,1.97307,1.01566,0.23006,0.37792,0.24689,0.24415,0.35504,45.5087,0.8227,1.52845e-05,1.52845e-05,1.52845e-05
99,8888.46,0.44498,1.87716,1.01197,0.22567,0.36842,0.24284,0.24004,0.34994,46.3011,0.81743,1.1473e-05,1.1473e-05,1.1473e-05
100,8942.3,0.40832,1.83872,1.00632,0.2803,0.36707,0.24297,0.24076,0.34446,46.5891,0.81384,7.6615e-06,7.6615e-06,7.6615e-06
